repair_id,timestamp,tech_id,fault_code,symptoms,ai_diagnosis,confidence,evidence_collected,escalated,approved_by,outcome,resolution_time_hours,model_used
REP-1000,2024-01-01T10:00:00,TechB_002,P0234,excessive fuel consumption,Wastegate actuator failure,0.56,yes,True,Eng_Johnson,parts_ordered,1.0,llama3.1
REP-1001,2024-01-04T16:00:00,TechA_001,P0191,stalling at low RPM,Fuel rail pressure sensor failure,0.59,yes,True,Eng_Martinez,parts_ordered,2.8,llama3.1
REP-1002,2024-01-07T13:00:00,TechC_003,P0234,"check engine light, idling rough",Boost pressure sensor,0.89,yes,True,Eng_Martinez,resolved,5.8,llama3.1
REP-1003,2024-01-10T12:00:00,TechE_005,P0191,"check engine light, idling rough",Fuel rail pressure sensor failure,0.71,yes,False,,resolved,4.5,mistral
REP-1004,2024-01-13T17:00:00,TechE_005,P0191,"check engine light, idling rough",Injector return leak,0.58,yes,True,Eng_Martinez,resolved,0.8,llama3.1
REP-1005,2024-01-16T13:00:00,TechC_003,P0087,engine hesitation under load,Fuel pump failure,0.91,yes,False,,resolved,1.4,llama3.1
REP-1006,2024-01-19T08:00:00,TechE_005,P0191,excessive fuel consumption,Clogged fuel filter,0.84,yes,False,,resolved,3.4,llama3.1
REP-1007,2024-01-22T17:00:00,TechE_005,P0191,hard start and low power,Injector return leak,0.71,yes,False,,resolved,5.1,llama3.1
REP-1008,2024-01-25T08:00:00,TechB_002,P0191,stalling at low RPM,Fuel rail pressure sensor failure,0.89,yes,False,,resolved,1.7,llama3.1
REP-1009,2024-01-28T10:00:00,TechE_005,P0087,stalling at low RPM,Fuel pressure regulator,0.74,yes,False,,resolved,4.6,llama3.1
REP-1010,2024-01-31T09:00:00,TechE_005,P0234,engine hesitation under load,Boost pressure sensor,0.7,yes,False,,resolved,4.7,llama3.1
REP-1011,2024-02-03T08:00:00,TechD_004,P0191,engine hesitation under load,Weak lift pump,0.88,yes,False,,parts_ordered,6.0,mistral
REP-1012,2024-02-06T17:00:00,TechE_005,P0087,"check engine light, idling rough",Fuel pressure regulator,0.91,yes,True,Eng_Williams,resolved,2.1,llama3.1
REP-1013,2024-02-09T11:00:00,TechE_005,P0087,hard start and low power,Fuel pump failure,0.95,yes,False,,parts_ordered,5.5,mistral
REP-1014,2024-02-12T09:00:00,TechE_005,P0087,stalling at low RPM,Fuel pressure regulator,0.76,yes,True,Eng_Johnson,parts_ordered,2.3,llama3.1
REP-1015,2024-02-15T11:00:00,TechB_002,P0191,rough idle and black smoke,Clogged fuel filter,0.92,yes,False,,resolved,5.3,llama3.1
REP-1016,2024-02-18T15:00:00,TechB_002,P0191,hard start and low power,Injector return leak,0.89,yes,False,,escalated_resolved,5.7,llama3.1
REP-1017,2024-02-21T10:00:00,TechE_005,P0087,excessive fuel consumption,Fuel pressure regulator,0.92,yes,False,,resolved,4.4,llama3.1
REP-1018,2024-02-24T14:00:00,TechA_001,P0234,hard start and low power,Boost hose leak,0.71,yes,False,,resolved,0.9,llama3.1
REP-1019,2024-02-27T08:00:00,TechA_001,P0234,hard start and low power,Boost hose leak,0.65,yes,True,Eng_Johnson,resolved,5.2,llama3.1
REP-1020,2024-03-01T15:00:00,TechB_002,P0234,excessive fuel consumption,Wastegate actuator failure,0.67,yes,True,Eng_Chen,resolved,4.8,llama3.1
REP-1021,2024-03-04T13:00:00,TechD_004,P0191,engine hesitation under load,Fuel rail pressure sensor failure,0.59,yes,True,Eng_Johnson,resolved,0.8,mistral
REP-1022,2024-03-07T14:00:00,TechB_002,P0087,engine hesitation under load,Fuel pump failure,0.65,yes,True,Eng_Martinez,resolved,3.0,llama3.1
REP-1023,2024-03-10T15:00:00,TechA_001,P0087,rough idle and black smoke,Fuel pressure regulator,0.59,yes,True,Eng_Martinez,resolved,2.7,llama3.1
REP-1024,2024-03-13T13:00:00,TechC_003,P0191,engine hesitation under load,Injector return leak,0.93,yes,True,Eng_Williams,escalated_resolved,4.3,mistral
REP-1025,2024-03-16T07:00:00,TechE_005,P0234,excessive fuel consumption,Boost hose leak,0.85,yes,True,Eng_Johnson,resolved,0.8,mistral
REP-1026,2024-03-19T07:00:00,TechE_005,P0087,rough idle and black smoke,Fuel pressure regulator,0.94,yes,False,,resolved,0.9,llama3.1
