code,name,system,severity,common_causes
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance,Fuel,High,"Sensor failure, weak pump, clogged filter"
P0087,Fuel Rail/System Pressure Too Low,Fuel,High,"Fuel pump, pressure regulator, filter"
P0093,Fuel System Large Leak Detected,Fuel,Critical,"Fuel line, injector o-ring, rail"
P0234,Turbocharger Overboost Condition,Turbo,High,"Wastegate, boost pressure sensor, ECM"
P0541,Intake Air Heater Relay Circuit Low,Electrical,Medium,"Relay, wiring, grid heater"
P0401,EGR Insufficient Flow,Emissions,Medium,"EGR valve, passages, sensor"
P0402,EGR Excessive Flow,Emissions,Medium,EGR valve stuck open
P0299,Turbocharger Underboost,Turbo,High,"Boost leak, turbo wear, VGT actuator"
P0380,Glow Plug Circuit Malfunction,Electrical,Medium,"Glow plug, relay, wiring"
P2BAC,NOx Limit Exceeded - EGR Deactivated,Emissions,High,Secondary to P0191
P0100,Mass Air Flow Sensor Circuit,Air,Medium,"MAF sensor, wiring, air filter"
P0101,Mass Air Flow Out of Range,Air,Medium,"MAF sensor, air leak"
P0180,Fuel Temperature Sensor Circuit,Fuel,Low,"Sensor, wiring"
P0183,Fuel Temperature Sensor High,Fuel,Low,Sensor stuck high
P0200,Injector Circuit Open,Fuel,High,"Injector, wiring harness"
P0201,Injector 1 Circuit,Fuel,High,"Injector 1 coil, wiring"
P0202,Injector 2 Circuit,Fuel,High,"Injector 2 coil, wiring"
P0203,Injector 3 Circuit,Fuel,High,"Injector 3 coil, wiring"
P0204,Injector 4 Circuit,Fuel,High,"Injector 4 coil, wiring"
P0205,Injector 5 Circuit,Fuel,High,"Injector 5 coil, wiring"
P0206,Injector 6 Circuit,Fuel,High,"Injector 6 coil, wiring"
P0335,Crankshaft Position Sensor,Engine,High,"CKP sensor, tone ring, wiring"
P0340,Camshaft Position Sensor,Engine,High,"CMP sensor, timing, wiring"
P0500,Vehicle Speed Sensor,Drivetrain,Medium,"VSS, wiring, TCM"
P0600,Serial Communication Link,Electrical,High,"CAN bus, ECM, wiring"
P0700,Transmission Control System,Transmission,High,"TCM, solenoids"
P1093,Fuel Rail Pressure Low During Power Enrichment,Fuel,High,"Pump, filter, injectors"
P1094,Fuel Rail Pressure High During Power Enrichment,Fuel,Medium,"Pressure regulator, sensor"
P1261,"High Pressure Injector Control, Cylinder 1",Fuel,High,"HPOP, injector 1"
P0420,Catalyst Efficiency Below Threshold,Emissions,Medium,"DPF, SCR, DEF system"
P0471,Exhaust Pressure Sensor Range,Exhaust,Medium,"Sensor, DPF clog"
P0472,Exhaust Pressure Sensor Low,Exhaust,Medium,"Sensor, wiring"
P0473,Exhaust Pressure Sensor High,Exhaust,Medium,"Blocked DPF, sensor"
P0478,Exhaust Pressure Control High,Exhaust,High,"EBV stuck, actuator"
P2002,DPF Efficiency Below Threshold,Emissions,High,"DPF clog, regen failure"
P203F,Reductant Quality Sensor,Emissions,Medium,"DEF quality, sensor"
P2047,Reductant Injector Circuit Low,Emissions,High,"DEF injector, wiring"
P2048,Reductant Injector Circuit High,Emissions,High,"DEF injector, short"
P2269,Water In Fuel Sensor,Fuel,Medium,"Water separator, sensor"
P0560,System Voltage Malfunction,Electrical,Medium,"Alternator, battery, wiring"
P0562,System Voltage Low,Electrical,High,"Alternator, battery failing"
P0563,System Voltage High,Electrical,Medium,"Voltage regulator, alternator"
P0480,Cooling Fan Relay Circuit,Cooling,Medium,"Fan relay, wiring, ECM"
P0481,Cooling Fan Relay 2 Circuit,Cooling,Medium,Fan relay 2
P0482,Cooling Fan Relay 3 Circuit,Cooling,Medium,Fan relay 3
P0116,Engine Coolant Temp Sensor Range,Cooling,Medium,"ECT sensor, thermostat"
P0117,Engine Coolant Temp Sensor Low,Cooling,Low,"ECT sensor, wiring short"
P0118,Engine Coolant Temp Sensor High,Cooling,High,"ECT sensor, open circuit"
P0125,Insufficient Coolant Temp For Closed Loop,Cooling,Low,Thermostat stuck open
P0128,Coolant Temp Below Thermostat Regulating Temp,Cooling,Low,Thermostat
